date,state,industry,employed_thousands
2011Q2,New South Wales,Manufacturing,279.13457772
2011Q2,New South Wales,"Professional, Scientific and Technical Services",287.8092436
2011Q2,Queensland,Accommodation and Food Services,137.57392576
2011Q2,Queensland,Construction,231.25995240999998
2011Q2,Queensland,Education and Training,169.36591041
2011Q2,Queensland,Health Care and Social Assistance,276.64754273
2011Q2,Queensland,Manufacturing,173.72691065
2011Q2,Queensland,"Professional, Scientific and Technical Services",157.34346564
2011Q2,Victoria,Accommodation and Food Services,153.48851781000002
2011Q2,Victoria,Construction,253.40936826
2011Q2,Victoria,Education and Training,222.7677065
2011Q2,Victoria,Health Care and Social Assistance,339.98844654
2011Q2,Victoria,Manufacturing,300.57761044
2011Q2,Victoria,"Professional, Scientific and Technical Services",222.52213392
2011Q3,New South Wales,Accommodation and Food Services,182.57137345
2011Q3,New South Wales,Construction,277.1533248
2011Q3,New South Wales,Education and Training,253.35699753999998
2011Q3,New South Wales,Health Care and Social Assistance,425.58550176
2011Q3,New South Wales,Manufacturing,269.35548571
2011Q3,New South Wales,"Professional, Scientific and Technical Services",302.96589838
2011Q3,Queensland,Accommodation and Food Services,125.53746047000001
2011Q3,Queensland,Construction,223.71280891
2011Q3,Queensland,Education and Training,172.58000145
2011Q3,Queensland,Health Care and Social Assistance,262.20561380000004
2011Q3,Queensland,Manufacturing,185.46940783
2011Q3,Queensland,"Professional, Scientific and Technical Services",151.85739762999998
2011Q3,Victoria,Accommodation and Food Services,152.54681209
2011Q3,Victoria,Construction,255.0134695
2011Q3,Victoria,Education and Training,214.06778318
